epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5311.43,1.00331,0.53052,1.23131,0.96192,0.98339,0.97505,0.71835,1.01514,0.40058,1.08228,0.00887852,0.00887852,0.00887852
60,5402.04,1.00485,0.52421,1.23148,0.963,0.98439,0.97235,0.71864,1.00045,0.39799,1.08786,0.00885918,0.00885918,0.00885918
61,5491.85,1.0071,0.53529,1.24098,0.96103,0.98616,0.9755,0.71017,1.01044,0.41514,1.14282,0.00883984,0.00883984,0.00883984
62,5583.88,1.00634,0.53597,1.2413,0.96508,0.97232,0.97582,0.71192,1.02534,0.41816,1.086,0.00882051,0.00882051,0.00882051
63,5675.24,1.01494,0.5344,1.2477,0.96827,0.97786,0.98113,0.7361,0.99803,0.3968,1.11097,0.00880117,0.00880117,0.00880117
64,5767.6,1.02006,0.54396,1.24916,0.96291,0.98185,0.97803,0.71369,1.00759,0.42363,1.14272,0.00878184,0.00878184,0.00878184
65,5858.74,1.01504,0.53153,1.24533,0.9648,0.98247,0.97906,0.72014,0.99853,0.39597,1.09858,0.0087625,0.0087625,0.0087625
66,5951.27,1.0159,0.53439,1.24506,0.96048,0.98644,0.97832,0.72403,0.99916,0.40274,1.10999,0.00874316,0.00874316,0.00874316
67,6042.56,1.01692,0.53224,1.24851,0.96125,0.98616,0.97721,0.71482,1.02262,0.39238,1.0833,0.00872383,0.00872383,0.00872383
68,6132.94,1.0276,0.53293,1.26296,0.96551,0.98129,0.97783,0.72669,0.99238,0.41027,1.13303,0.00870449,0.00870449,0.00870449
69,6224.73,1.00383,0.53068,1.24089,0.96633,0.97965,0.97819,0.73285,0.99286,0.42141,1.11797,0.00868516,0.00868516,0.00868516
70,6316.19,1.00346,0.52423,1.23773,0.95947,0.98708,0.97862,0.72149,1.03121,0.40388,1.10115,0.00866582,0.00866582,0.00866582
