epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,9453.65,2.05018,0.81511,2.18646,0.9404,0.96385,0.98498,0.71278,2.18909,0.73417,2.45864,0.00796973,0.00796973,0.00796973
107,9514.94,2.07707,0.8237,2.1971,0.94256,0.9637,0.98563,0.71395,2.19146,0.73587,2.4553,0.00795039,0.00795039,0.00795039
108,9588.39,2.02522,0.81142,2.17883,0.9411,0.96527,0.98553,0.72791,2.08383,0.70936,2.39017,0.00793105,0.00793105,0.00793105
109,9649.72,2.03048,0.81155,2.1749,0.94186,0.9611,0.98443,0.71876,2.17522,0.73613,2.45828,0.00791172,0.00791172,0.00791172
110,9753.69,2.02538,0.8078,2.17681,0.94179,0.964,0.98537,0.70662,2.23246,0.73924,2.49239,0.00789238,0.00789238,0.00789238
111,9824.41,2.04494,0.81314,2.18144,0.93868,0.96786,0.98625,0.71767,2.1788,0.72221,2.46193,0.00787305,0.00787305,0.00787305
112,9891.76,2.02491,0.80366,2.16384,0.93934,0.96435,0.98448,0.6937,2.34099,0.76488,2.57594,0.00785371,0.00785371,0.00785371
113,10045.2,2.02989,0.81275,2.18163,0.94087,0.96614,0.98573,0.72376,2.13026,0.71579,2.42328,0.00783438,0.00783438,0.00783438
114,10106.4,2.02505,0.80985,2.18335,0.94019,0.96565,0.98516,0.70077,2.26962,0.74613,2.51846,0.00781504,0.00781504,0.00781504
115,10167.5,2.03207,0.80939,2.19012,0.94032,0.96634,0.98488,0.71327,2.20596,0.72975,2.47264,0.0077957,0.0077957,0.0077957
116,10231.8,2.0311,0.81506,2.18221,0.9391,0.96609,0.98576,0.71264,2.21627,0.74085,2.47004,0.00777637,0.00777637,0.00777637
117,10292.9,2.02462,0.80147,2.18065,0.94037,0.96481,0.98561,0.71035,2.23512,0.74127,2.49105,0.00775703,0.00775703,0.00775703
118,10354.9,2.03548,0.80568,2.15944,0.94365,0.96308,0.98574,0.71733,2.19581,0.73204,2.4693,0.0077377,0.0077377,0.0077377
119,10417,2.02652,0.81249,2.16813,0.94133,0.96429,0.9851,0.69506,2.32213,0.75959,2.5565,0.00771836,0.00771836,0.00771836
120,10497.4,2.02095,0.8071,2.18454,0.94118,0.96664,0.98609,0.72077,2.14213,0.71845,2.42449,0.00769902,0.00769902,0.00769902
121,10559.8,2.02156,0.80359,2.17073,0.94096,0.96277,0.98542,0.72165,2.1414,0.73263,2.43379,0.00767969,0.00767969,0.00767969
122,10621,2.01064,0.80399,2.17762,0.94034,0.96573,0.9857,0.71592,2.18185,0.72411,2.45848,0.00766035,0.00766035,0.00766035
123,10682.3,2.01431,0.80431,2.16978,0.94127,0.96402,0.98552,0.71157,2.20886,0.73792,2.47477,0.00764102,0.00764102,0.00764102
124,10743.3,2.02359,0.81448,2.1871,0.94255,0.96359,0.98529,0.70114,2.26287,0.74409,2.53776,0.00762168,0.00762168,0.00762168
125,10826.1,2.01724,0.80074,2.17597,0.94144,0.96541,0.98578,0.72145,2.16224,0.72496,2.44403,0.00760234,0.00760234,0.00760234
126,10890.7,2.01429,0.80248,2.16433,0.94052,0.96191,0.98576,0.70717,2.23541,0.74326,2.48845,0.00758301,0.00758301,0.00758301
127,10951.5,2.00175,0.79914,2.179,0.93843,0.96955,0.98568,0.70742,2.2617,0.74167,2.51813,0.00756367,0.00756367,0.00756367
128,11012.8,2.01078,0.80372,2.17014,0.93937,0.96481,0.98537,0.69915,2.26485,0.74652,2.52721,0.00754434,0.00754434,0.00754434
129,11089.6,2.00757,0.80269,2.16564,0.94119,0.96344,0.98516,0.70909,2.22649,0.73571,2.48312,0.007525,0.007525,0.007525
130,11152.3,2.00595,0.80042,2.18001,0.94219,0.96471,0.98585,0.71176,2.19738,0.72528,2.47065,0.00750566,0.00750566,0.00750566
131,11343.9,2.00808,0.80167,2.14617,0.94095,0.9659,0.98552,0.71544,2.17108,0.72067,2.45141,0.00748633,0.00748633,0.00748633
132,11405.3,1.99793,0.79632,2.16184,0.93919,0.96583,0.98612,0.72187,2.14221,0.71871,2.43073,0.00746699,0.00746699,0.00746699
133,11470.6,2.00443,0.79437,2.15445,0.942,0.96297,0.98566,0.71197,2.20207,0.73672,2.47611,0.00744766,0.00744766,0.00744766
134,11611.7,1.98437,0.79151,2.16208,0.93895,0.96733,0.98532,0.71063,2.19755,0.7329,2.48094,0.00742832,0.00742832,0.00742832
135,11764.1,1.98339,0.79451,2.15169,0.94015,0.96568,0.98487,0.69588,2.28179,0.74897,2.53156,0.00740898,0.00740898,0.00740898
136,11826.4,1.99509,0.80154,2.15905,0.94183,0.9643,0.98579,0.70082,2.27158,0.74123,2.5308,0.00738965,0.00738965,0.00738965
137,11905.4,1.98589,0.78563,2.14706,0.93872,0.96905,0.98596,0.72231,2.13605,0.71694,2.42746,0.00737031,0.00737031,0.00737031
138,11985.5,1.99726,0.79305,2.15355,0.94044,0.96671,0.98542,0.69321,2.34018,0.74771,2.58422,0.00735098,0.00735098,0.00735098
139,12051.1,1.9956,0.79126,2.15728,0.93957,0.96766,0.98563,0.70935,2.22137,0.73351,2.48841,0.00733164,0.00733164,0.00733164
140,12117.8,1.98382,0.79114,2.14402,0.94184,0.96481,0.98619,0.71034,2.21657,0.73035,2.48259,0.0073123,0.0073123,0.0073123
141,12281.9,1.97906,0.79436,2.15368,0.94265,0.96453,0.98623,0.72808,2.09447,0.71414,2.39803,0.00729297,0.00729297,0.00729297
142,12344.1,1.98939,0.79032,2.15309,0.94177,0.96451,0.98559,0.70103,2.29212,0.75134,2.54637,0.00727363,0.00727363,0.00727363
143,12406.7,2.00316,0.79991,2.16853,0.94456,0.96432,0.98601,0.70691,2.23984,0.73066,2.498,0.0072543,0.0072543,0.0072543
144,12467.5,1.98697,0.7924,2.16562,0.94228,0.96568,0.98543,0.70675,2.24453,0.7417,2.50405,0.00723496,0.00723496,0.00723496
145,12587.8,1.98815,0.79773,2.16344,0.94042,0.96593,0.9861,0.72226,2.16621,0.72093,2.44592,0.00721562,0.00721562,0.00721562
146,12731.7,1.97543,0.78788,2.14459,0.94257,0.96302,0.98579,0.70952,2.22869,0.7402,2.49239,0.00719629,0.00719629,0.00719629
147,12793.2,1.97678,0.7887,2.1582,0.94013,0.96617,0.98589,0.71075,2.22158,0.73454,2.48734,0.00717695,0.00717695,0.00717695
148,12854.5,1.98258,0.79253,2.14168,0.94181,0.96461,0.9858,0.71658,2.19105,0.72281,2.46779,0.00715762,0.00715762,0.00715762
149,12915.3,1.96715,0.78187,2.14435,0.94024,0.96493,0.98601,0.72701,2.13227,0.71641,2.41836,0.00713828,0.00713828,0.00713828
150,12981.2,1.98455,0.78772,2.1538,0.94441,0.96329,0.98593,0.71297,2.21628,0.72669,2.49,0.00711895,0.00711895,0.00711895
151,13264.9,1.97541,0.78602,2.1429,0.94255,0.96354,0.98571,0.70988,2.23637,0.73266,2.49537,0.00709961,0.00709961,0.00709961
152,13341.8,1.98218,0.78995,2.15198,0.94364,0.96334,0.98602,0.70418,2.25076,0.73136,2.51862,0.00708027,0.00708027,0.00708027
153,13411.6,1.98834,0.79377,2.14807,0.94241,0.96369,0.98597,0.7296,2.10051,0.71313,2.40217,0.00706094,0.00706094,0.00706094
154,13554.5,1.97727,0.78747,2.14536,0.94203,0.96293,0.98578,0.69679,2.31132,0.75253,2.55151,0.0070416,0.0070416,0.0070416
155,13624.5,1.96711,0.78748,2.15376,0.94475,0.96173,0.98586,0.71767,2.17913,0.72723,2.45867,0.00702227,0.00702227,0.00702227
156,13692.6,1.96807,0.78045,2.13468,0.94332,0.96388,0.98614,0.71841,2.15804,0.71693,2.44413,0.00700293,0.00700293,0.00700293
157,13770.7,1.96997,0.78557,2.12369,0.9396,0.96829,0.98561,0.71403,2.18392,0.72164,2.46981,0.00698359,0.00698359,0.00698359
158,13831.7,1.9703,0.78461,2.15263,0.93999,0.96535,0.98489,0.69281,2.31411,0.74879,2.56394,0.00696426,0.00696426,0.00696426
159,13896.8,1.97751,0.78542,2.14835,0.94209,0.96124,0.98537,0.70713,2.24084,0.74024,2.5033,0.00694492,0.00694492,0.00694492
160,13958.1,1.97524,0.78388,2.14948,0.94166,0.96348,0.98578,0.71154,2.20848,0.73675,2.47777,0.00692559,0.00692559,0.00692559
161,14067.3,1.96741,0.78836,2.13596,0.9414,0.96483,0.98553,0.6968,2.31429,0.74934,2.55441,0.00690625,0.00690625,0.00690625
162,14140.8,1.9693,0.78632,2.14516,0.94195,0.96517,0.98623,0.7132,2.19573,0.72578,2.46837,0.00688691,0.00688691,0.00688691
